addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
6e6SwaRNi1tytt5H7RzEsYkfMYqBzjTG7KDQGfgnkj2L,1.0,3138983520930392.0,2306870081749326.0,1360711010890593.8
AEevCbyTvhLjfogZ4cu9nY4FawCm19JfNdbuaxNALi3d,6.0,8728439146114114.0,6409861470299378.0,1361720403250219.5
FLMPcPQ5bC93by3ULBBvBWpNkNA1mfDmCtLiokMi4TAw,3.0,2066300625614867.8,1511999207989833.2,1366601658715129.2
BjaRz89nYi5BQ3C1hrMgHURQLuqrVmzoKKZj8DV9BfdQ,5.0,3.268918422490305e17,2.3900329762525606e17,1367729422552064.0
7fyRfoMUGkwdNBmUDCQvZkANUfmbJjH3niQz1hMKQog5,5.0,8.608785538863739e16,6.2911155019067496e16,1368403669628150.2
AraFc4La85bof36iu97i1T4gMnux3dGuQZ17FoPuGtBQ,3.0,1.187287138489905e16,8675326872862220.0,1368579139310502.8
FL3mma5aLse75WWefLzEYZvt7CYQ9edTGGeeiLPjedzp,3.0,1.6342837649272742e16,1.1911906643818404e16,1371974960679677.5
BCWP7miTM9x1tbPMK6iJTrERECMkPWjpgT1QTKndpMNu,3.0,2077375722234785.2,1511839778251134.5,1374071348114580.8
AwoFYeEGkqQ6kjXPfZNDPdVjb55uGXomnF9js2HDVumN,2.0,4587345663403477.0,3335851212800545.0,1375164949144199.2
8B4Bm1uwR9XbgdmW7Hy28fcMfwSXXnvmAiVupqHcrMz6,3.0,8536666591749937.0,6205784312044881.0,1375598338985294.5
C932N5UjiNmSkpFcgYLTBfixS6sDnCjvrm6LPrb1PSzu,7.0,5072491900525305.0,3685808321460594.5,1376222380038255.0
GGKRYHUifNAyXACx9kDaWNXGpGpmeoevcihgPtrdPYd7,1.0,1.5774844435484696e16,1.1429625015901408e16,1380171651610444.2
F6Y7ZKTqWHeN9AXrJEeG2c84jQaW9HuYA1a79fJfQfFw,1.0,1.5632692244446182e16,1.1313906186442852e16,1381723693553197.0
39xKmoWykPUG5hjcRVJuX9h28r9Fd4th7viZqMyQs85L,10.0,5941932710646064.0,4297744584795220.0,1382569995357038.2
DyT9RiwATCMQtT8piUXYYfSLxAYEt3WYJcR4T1FUESRK,4.0,2244417834681073.5,1621993527567316.5,1383740314948898.5
8aprrFM9MrzmtESujVmZSTrcPXRYBE4v5g9HA6KEnDyX,6.0,7.184305309086655e16,5.186163233911205e16,1385283298086344.5
EN1vxjHdbKfbizD8rdTYEowusa6ygVViDNV4i1zdBMPF,2.0,9164190226669672.0,6590728438335726.0,1390466973781701.0
Bq46c446Y1T5f6Rv5jjxNZ4ETsZUU7NCNBT895UnS5F4,3.0,8.297295351751402e16,5.96419484275559e16,1391184488519806.0
GthWwLcUDhz3mbXgqzUs6LFo6oqnKR82rJmU22MckU77,3.0,2289487888337083.5,1644087953608947.0,1392558033961270.5
